Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
cortexode,203721,pial,rh,Self-Intersections (SIF),,2182,210827
cortexode,245333,pial,rh,Chamfer Distance,,0.8686815213502781,
cortexode,245333,pial,rh,Hausdorff Distance,,5.277317050223766,
cortexode,245333,pial,rh,Self-Intersections (SIF),,2027,212625
cortexode,205220,pial,rh,Chamfer Distance,,0.8780060397644749,
cortexode,205220,pial,rh,Hausdorff Distance,,5.760237420649389,
cortexode,205220,pial,rh,Self-Intersections (SIF),,2503,214465
cortexode,228434,pial,rh,Chamfer Distance,,0.8917187437082408,
cortexode,228434,pial,rh,Hausdorff Distance,,5.961834164642195,
cortexode,228434,pial,rh,Self-Intersections (SIF),,344,207437
cortexode,214019,pial,rh,Chamfer Distance,,0.9343972160695986,
cortexode,214019,pial,rh,Hausdorff Distance,,4.972595391228773,
cortexode,214019,pial,rh,Self-Intersections (SIF),,2091,209513
cortexode,280739,pial,rh,Chamfer Distance,,0.8649585486719633,
cortexode,280739,pial,rh,Hausdorff Distance,,6.515487384972257,
cortexode,280739,pial,rh,Self-Intersections (SIF),,830,207805
cortexode,201414,pial,rh,Chamfer Distance,,0.9359688205356635,
cortexode,201414,pial,rh,Hausdorff Distance,,5.676206541215258,
cortexode,201414,pial,rh,Self-Intersections (SIF),,989,218120
cortexode,256540,pial,rh,Chamfer Distance,,0.8822461360350355,
cortexode,256540,pial,rh,Hausdorff Distance,,4.901421484676842,
cortexode,256540,pial,rh,Self-Intersections (SIF),,1039,216052
cortexode,285345,pial,rh,Chamfer Distance,,0.8898706769191572,
cortexode,285345,pial,rh,Hausdorff Distance,,5.399415141643943,
cortexode,285345,pial,rh,Self-Intersections (SIF),,1654,215904
cortexode,275645,pial,rh,Chamfer Distance,,0.9158921696515154,
cortexode,275645,pial,rh,Hausdorff Distance,,8.541396128224717,
cortexode,275645,pial,rh,Self-Intersections (SIF),,2186,213332
cortexode,221218,pial,rh,Chamfer Distance,,0.8979758984552069,
cortexode,221218,pial,rh,Hausdorff Distance,,6.5139695802818,
cortexode,221218,pial,rh,Self-Intersections (SIF),,3096,215774
cortexode,237334,pial,rh,Chamfer Distance,,0.8843073199912397,
cortexode,237334,pial,rh,Hausdorff Distance,,5.76038014704438,
cortexode,237334,pial,rh,Self-Intersections (SIF),,738,216500
cortexode,250932,pial,rh,Chamfer Distance,,0.8837447500301359,
cortexode,250932,pial,rh,Hausdorff Distance,,4.375431509255543,
cortexode,250932,pial,rh,Self-Intersections (SIF),,1903,214138
cortexode,214221,pial,rh,Chamfer Distance,,0.9175861644932131,
cortexode,214221,pial,rh,Hausdorff Distance,,5.226513597460182,
cortexode,214221,pial,rh,Self-Intersections (SIF),,669,214270
cortexode,209127,pial,rh,Chamfer Distance,,0.8878090130055409,
cortexode,209127,pial,rh,Hausdorff Distance,,5.356040533947668,
cortexode,209127,pial,rh,Self-Intersections (SIF),,3390,219825
cortexode,250427,pial,rh,Chamfer Distance,,0.8822025640833671,
cortexode,250427,pial,rh,Hausdorff Distance,,5.36928862256826,
cortexode,250427,pial,rh,Self-Intersections (SIF),,2285,220937
cortexode,212217,pial,rh,Chamfer Distance,,0.8818752695411767,
cortexode,212217,pial,rh,Hausdorff Distance,,4.694026012623447,
cortexode,212217,pial,rh,Self-Intersections (SIF),,2696,214307
cortexode,200008,pial,rh,Chamfer Distance,,0.8729233009637536,
cortexode,200008,pial,rh,Hausdorff Distance,,6.166913518154983,
cortexode,200008,pial,rh,Self-Intersections (SIF),,3215,215952
cortexode,208226,pial,rh,Chamfer Distance,,0.8646466989301871,
cortexode,208226,pial,rh,Hausdorff Distance,,7.486435049500267,
cortexode,208226,pial,rh,Self-Intersections (SIF),,771,220464
cortexode,217429,pial,rh,Chamfer Distance,,0.8917676643850655,
cortexode,217429,pial,rh,Hausdorff Distance,,5.549253967929275,
cortexode,217429,pial,rh,Self-Intersections (SIF),,3188,215367
cortexode,231928,pial,rh,Chamfer Distance,,0.8791162015900799,
cortexode,231928,pial,rh,Hausdorff Distance,,9.816455638324046,
cortexode,231928,pial,rh,Self-Intersections (SIF),,1252,216545
cortexode,203418,pial,rh,Chamfer Distance,,0.8805002126794149,
cortexode,203418,pial,rh,Hausdorff Distance,,6.353935917611859,
cortexode,203418,pial,rh,Self-Intersections (SIF),,1486,221706
cortexode,211417,pial,rh,Chamfer Distance,,0.875767614653163,
cortexode,211417,pial,rh,Hausdorff Distance,,5.048021091743271,
cortexode,211417,pial,rh,Self-Intersections (SIF),,2245,225480
cortexode,249947,pial,rh,Chamfer Distance,,0.904741082459692,
cortexode,249947,pial,rh,Hausdorff Distance,,7.075910380627935,
cortexode,249947,pial,rh,Self-Intersections (SIF),,4124,220871
cortexode,212116,pial,rh,Chamfer Distance,,0.8834736071663215,
cortexode,212116,pial,rh,Hausdorff Distance,,6.478604652135481,
cortexode,212116,pial,rh,Self-Intersections (SIF),,1154,226334
cortexode,217126,pial,rh,Chamfer Distance,,0.8800045999645782,
cortexode,217126,pial,rh,Hausdorff Distance,,4.922916212598172,
cortexode,217126,pial,rh,Self-Intersections (SIF),,1653,227362
