Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
csrf,211316,pial,rh,Self-Intersections (SIF),,-1,196395
csrf,201818,pial,rh,Chamfer Distance,,0.8766850572352543,
csrf,209834,pial,rh,Chamfer Distance,,0.9158570015478915,
csrf,255639,pial,rh,Chamfer Distance,,0.9149141935595718,
csrf,210415,pial,rh,Chamfer Distance,,0.9099044131878256,
csrf,280739,pial,rh,Chamfer Distance,,0.8750852600985315,
csrf,210617,pial,lh,Self-Intersections (SIF),,-1,246385
csrf,283543,pial,lh,Hausdorff Distance,,4.146903364146896,
csrf,201818,pial,rh,Hausdorff Distance,,6.44177571785059,
csrf,200008,pial,lh,Hausdorff Distance,,5.8603156581743425,
csrf,204521,pial,rh,Hausdorff Distance,,7.247493123761964,
csrf,210415,pial,rh,Hausdorff Distance,,5.919484037675325,
csrf,208125,pial,lh,Hausdorff Distance,,5.548347231412823,
csrf,209329,pial,rh,Chamfer Distance,,0.9327467698428057,
csrf,280739,pial,rh,Hausdorff Distance,,6.162187546417615,
csrf,268850,pial,lh,Self-Intersections (SIF),,-1,232612
csrf,202719,pial,lh,Hausdorff Distance,,4.167523647208741,
csrf,263436,pial,lh,Self-Intersections (SIF),,-1,241367
csrf,250932,pial,rh,Chamfer Distance,,0.8782750286895589,
csrf,212116,pial,lh,Self-Intersections (SIF),,-1,224885
csrf,228434,pial,rh,Chamfer Distance,,0.8959478159403671,
csrf,248339,pial,lh,Hausdorff Distance,,7.199540577293013,
csrf,211114,pial,lh,Hausdorff Distance,,5.418585461987948,
csrf,257845,pial,lh,Hausdorff Distance,,6.2403399440203495,
csrf,250932,pial,rh,Hausdorff Distance,,4.3008661407850495,
csrf,201515,pial,lh,Self-Intersections (SIF),,-1,254858
csrf,212217,pial,rh,Chamfer Distance,,0.8875259564515942,
csrf,209935,pial,lh,Hausdorff Distance,,4.683691582299782,
csrf,248339,pial,lh,Self-Intersections (SIF),,-1,238126
csrf,200311,pial,lh,Self-Intersections (SIF),,-1,231580
csrf,204622,pial,rh,Chamfer Distance,,0.8683168251549652,
csrf,210011,pial,lh,Self-Intersections (SIF),,-1,251290
csrf,212217,pial,rh,Hausdorff Distance,,5.450975838982774,
csrf,200109,pial,lh,Self-Intersections (SIF),,-1,237464
csrf,217429,pial,rh,Chamfer Distance,,0.8890283079492721,
csrf,204016,pial,lh,Self-Intersections (SIF),,-1,241897
csrf,212823,pial,lh,Hausdorff Distance,,5.688128561575575,
csrf,204622,pial,rh,Hausdorff Distance,,6.3194976185042995,
csrf,214524,pial,lh,Hausdorff Distance,,5.2629649576944,
csrf,214726,pial,lh,Hausdorff Distance,,4.821346861802404,
csrf,213421,pial,lh,Hausdorff Distance,,5.51562998076361,
csrf,217429,pial,rh,Hausdorff Distance,,5.65187646137357,
csrf,204319,pial,lh,Hausdorff Distance,,4.886400873491703,
csrf,207426,pial,lh,Self-Intersections (SIF),,-1,226287
csrf,212015,pial,lh,Hausdorff Distance,,4.617793109897443,
csrf,214726,pial,lh,Self-Intersections (SIF),,-1,245526
csrf,214524,pial,lh,Self-Intersections (SIF),,-1,244741
csrf,205119,pial,lh,Hausdorff Distance,,4.640232033835611,
csrf,212823,pial,lh,Self-Intersections (SIF),,-1,247598
csrf,211922,pial,lh,Self-Intersections (SIF),,-1,226031
csrf,201717,pial,lh,Hausdorff Distance,,5.130428712199786,
csrf,245333,pial,rh,Chamfer Distance,,0.8767755815668092,
csrf,217429,pial,rh,Self-Intersections (SIF),,-1,215352
csrf,204319,pial,lh,Self-Intersections (SIF),,-1,259593
csrf,251833,pial,lh,Hausdorff Distance,,6.289738968317573,
csrf,214423,pial,lh,Hausdorff Distance,,10.255126838474391,
csrf,205826,pial,lh,Hausdorff Distance,,6.695904314323957,
csrf,208327,pial,lh,Hausdorff Distance,,5.257876841301246,
csrf,202113,pial,lh,Self-Intersections (SIF),,-1,247172
csrf,207123,pial,lh,Hausdorff Distance,,8.740176423671913,
csrf,246133,pial,rh,Chamfer Distance,,0.9085373068673558,
csrf,211720,pial,lh,Hausdorff Distance,,6.301967138642717,
csrf,214423,pial,lh,Self-Intersections (SIF),,-1,290412
csrf,268749,pial,lh,Hausdorff Distance,,5.210607080763193,
csrf,200210,pial,lh,Hausdorff Distance,,7.269695249841008,
csrf,201111,pial,lh,Self-Intersections (SIF),,-1,240280
