Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,separate,217126,gm,lh,4,100,Hausdorff Distance,,7.045819729750169,
csrp,separate,217126,gm,lh,4,100,Self-Intersections (SIF),,6745,240452
csrp,separate,211417,gm,lh,4,100,Chamfer Distance,,5.077014317493137,
csrp,separate,211417,gm,lh,4,100,Hausdorff Distance,,6.802109977832553,
csrp,separate,211417,gm,lh,4,100,Self-Intersections (SIF),,7514,243360
csrp,separate,211922,gm,lh,4,100,Chamfer Distance,,5.204462818640512,
csrp,separate,211922,gm,lh,4,100,Hausdorff Distance,,6.893828768513502,
csrp,separate,211922,gm,lh,4,100,Self-Intersections (SIF),,7267,243856
csrp,separate,200614,gm,lh,8,50,Chamfer Distance,,5.256840612388173,
csrp,separate,200614,gm,lh,8,50,Hausdorff Distance,,7.2613565690690915,
csrp,separate,200614,gm,lh,8,50,Self-Intersections (SIF),,8297,247072
csrp,separate,212419,gm,lh,4,100,Chamfer Distance,,5.254210478061545,
csrp,separate,212419,gm,lh,4,100,Hausdorff Distance,,6.444686385627266,
csrp,separate,212419,gm,lh,4,100,Self-Intersections (SIF),,9587,247088
csrp,separate,289555,gm,lh,8,50,Chamfer Distance,,4.953054991688182,
csrp,separate,289555,gm,lh,8,50,Hausdorff Distance,,7.156380605735498,
csrp,separate,289555,gm,lh,8,50,Self-Intersections (SIF),,5449,203360
csrp,separate,208327,gm,lh,4,100,Chamfer Distance,,5.071433433455634,
csrp,separate,208327,gm,lh,4,100,Hausdorff Distance,,7.122646083910167,
csrp,separate,208327,gm,lh,4,100,Self-Intersections (SIF),,4505,305948
csrp,separate,200311,gm,lh,8,50,Chamfer Distance,,5.28456031949027,
csrp,separate,200311,gm,lh,8,50,Hausdorff Distance,,8.171702080228355,
csrp,separate,200311,gm,lh,8,50,Self-Intersections (SIF),,4925,249956
csrp,separate,297655,gm,lh,8,50,Chamfer Distance,,4.93542775840878,
csrp,separate,297655,gm,lh,8,50,Hausdorff Distance,,7.240472530535986,
csrp,separate,297655,gm,lh,8,50,Self-Intersections (SIF),,2905,203312
csrp,separate,200917,gm,lh,8,50,Chamfer Distance,,4.728602031621639,
csrp,separate,200917,gm,lh,8,50,Hausdorff Distance,,7.8708717811124655,
csrp,separate,200917,gm,lh,8,50,Self-Intersections (SIF),,6432,251936
csrp,separate,214726,gm,lh,4,100,Chamfer Distance,,5.508071521488045,
csrp,separate,214726,gm,lh,4,100,Hausdorff Distance,,7.050678432717898,
csrp,separate,214726,gm,lh,4,100,Self-Intersections (SIF),,7236,258688
csrp,separate,211114,gm,lh,4,100,Chamfer Distance,,5.17003753351602,
csrp,separate,211114,gm,lh,4,100,Hausdorff Distance,,7.189098709491561,
csrp,separate,211114,gm,lh,4,100,Self-Intersections (SIF),,11244,256644
csrp,separate,293748,gm,lh,8,50,Chamfer Distance,,5.073661239990237,
